INDEX,DATE,TIME,latitude,longitude,HEIGHT,SPEED,DISTANCE
1,2020/02/22,16:30:17,-31.119224,-64.29057,763,0,0
2,2020/02/22,16:30:22,-31.119224,-64.29057,763,0,0
3,2020/02/22,16:30:27,-31.119224,-64.29057,763,0,0
4,2020/02/22,16:30:29,-31.119224,-64.29057,763,0,0
5,2020/02/22,16:30:32,-31.119222,-64.290574,762,0,0.000422
6,2020/02/22,16:30:33,-31.119222,-64.290574,761,0,0.000422
7,2020/02/22,16:30:34,-31.119222,-64.290576,760,0,0.000587
8,2020/02/22,16:30:35,-31.119221,-64.290577,760,0,0.000753
9,2020/02/22,16:30:36,-31.119221,-64.290577,759,0,0.000753
10,2020/02/22,16:30:37,-31.119221,-64.290579,759,0,0.000928
11,2020/02/22,16:30:38,-31.11922,-64.290581,758,0,0.0011
12,2020/02/22,16:30:39,-31.11922,-64.290583,758,0,0.001275
13,2020/02/22,16:30:40,-31.11922,-64.290583,757,0,0.001275
14,2020/02/22,16:30:41,-31.11922,-64.290585,757,0,0.001469
15,2020/02/22,16:30:42,-31.119219,-64.290587,757,0,0.00166
16,2020/02/22,16:30:43,-31.119219,-64.290587,757,0,0.00166
17,2020/02/22,16:30:44,-31.119219,-64.290589,756,0,0.001857
18,2020/02/22,16:30:45,-31.119219,-64.290591,756,0,0.002042
19,2020/02/22,16:30:46,-31.119219,-64.290593,756,0,0.002237
20,2020/02/22,16:30:47,-31.119219,-64.290593,756,0,0.002237
21,2020/02/22,16:30:48,-31.119219,-64.290595,756,0,0.002422
22,2020/02/22,16:30:49,-31.119219,-64.290596,754,0,0.002593
23,2020/02/22,16:30:50,-31.119219,-64.290598,753,0,0.00275
24,2020/02/22,16:30:51,-31.11922,-64.290597,752,0,0.002876
25,2020/02/22,16:30:52,-31.11922,-64.290598,752,0,0.003024
26,2020/02/22,16:30:53,-31.11922,-64.2906,751,0,0.003134
27,2020/02/22,16:30:54,-31.11922,-64.290601,751,0,0.003306
28,2020/02/22,16:30:55,-31.11922,-64.290603,751,0,0.003493
29,2020/02/22,16:30:56,-31.119219,-64.290605,752,0,0.003643
30,2020/02/22,16:30:57,-31.119219,-64.290607,752,0,0.00388
31,2020/02/22,16:30:58,-31.119219,-64.29061,752,0,0.004125
32,2020/02/22,16:30:59,-31.11922,-64.290612,752,0,0.00438
33,2020/02/22,16:31:00,-31.11922,-64.290615,752,0,0.004616
34,2020/02/22,16:31:01,-31.119219,-64.290618,752,0,0.004902
35,2020/02/22,16:31:02,-31.119219,-64.290621,752,0,0.005173
36,2020/02/22,16:31:03,-31.119219,-64.290624,752,0,0.005457
37,2020/02/22,16:31:04,-31.119219,-64.290627,752,0,0.005766
38,2020/02/22,16:31:05,-31.119219,-64.29063,752,0,0.006079
39,2020/02/22,16:31:06,-31.119218,-64.290633,753,0,0.006397
40,2020/02/22,16:31:07,-31.119218,-64.290638,753,0,0.006853
41,2020/02/22,16:31:08,-31.119218,-64.290641,753,0,0.007145
42,2020/02/22,16:31:09,-31.119218,-64.290644,752,0,0.007425
43,2020/02/22,16:31:10,-31.119219,-64.290647,752,0,0.007681
44,2020/02/22,16:31:11,-31.119219,-64.290649,752,0,0.007924
45,2020/02/22,16:31:12,-31.11922,-64.290651,752,0,0.00815
46,2020/02/22,16:31:13,-31.119221,-64.290654,753,0,0.008368
47,2020/02/22,16:31:14,-31.119221,-64.290657,753,0,0.008668
48,2020/02/22,16:31:15,-31.119222,-64.290658,753,0,0.008829
49,2020/02/22,16:31:16,-31.119223,-64.290659,754,0,0.00898
50,2020/02/22,16:31:17,-31.119224,-64.290661,754,0,0.009126
51,2020/02/22,16:31:18,-31.119225,-64.290661,754,0,0.009258
52,2020/02/22,16:31:19,-31.119226,-64.290662,754,0,0.00938
53,2020/02/22,16:31:20,-31.119226,-64.290663,755,0,0.009492
54,2020/02/22,16:31:21,-31.119228,-64.290664,755,0,0.009651
55,2020/02/22,16:31:22,-31.119229,-64.290664,755,0,0.009747
56,2020/02/22,16:31:23,-31.11923,-64.290664,755,0,0.009858
57,2020/02/22,16:31:24,-31.11923,-64.290664,755,0,0.009912
58,2020/02/22,16:31:25,-31.11923,-64.290664,755,0,0.009961
59,2020/02/22,16:31:26,-31.119231,-64.290664,755,0,0.010003
60,2020/02/22,16:31:27,-31.119231,-64.290664,755,0,0.010045
61,2020/02/22,16:31:28,-31.119231,-64.290664,755,0,0.010096
62,2020/02/22,16:31:29,-31.119232,-64.290664,755,0,0.010135
63,2020/02/22,16:31:30,-31.119232,-64.290664,755,0,0.010186
64,2020/02/22,16:31:31,-31.119233,-64.290664,755,0,0.010226
65,2020/02/22,16:31:32,-31.119233,-64.290664,755,0,0.010266
66,2020/02/22,16:31:33,-31.119234,-64.290664,755,0,0.010339
67,2020/02/22,16:31:34,-31.119234,-64.290664,756,0,0.010389
68,2020/02/22,16:31:35,-31.119234,-64.290664,756,0,0.010433
69,2020/02/22,16:31:36,-31.119235,-64.290664,756,0,0.010476
70,2020/02/22,16:31:37,-31.119235,-64.290664,756,0,0.010493
71,2020/02/22,16:31:38,-31.119235,-64.290664,756,0,0.01051
72,2020/02/22,16:31:39,-31.119235,-64.290664,756,0,0.010522
73,2020/02/22,16:31:40,-31.119235,-64.290665,756,0,0.01055
74,2020/02/22,16:31:41,-31.119234,-64.290665,756,0,0.010586
